id,note,dev_frame_f1_avg,test_frame_f1_avg,dev_sign_frame_f1,test_sign_frame_f1,dev_sentence_frame_f1,test_sentence_frame_f1,dev_sign_frame_accuracy,test_sign_frame_accuracy,dev_sentence_frame_accuracy,test_sentence_frame_accuracy,dev_sign_segment_IoU,test_sign_segment_IoU,dev_sentence_segment_IoU,test_sentence_segment_IoU,dev_sign_segment_percentage,test_sign_segment_percentage,dev_sentence_segment_percentage,test_sentence_segment_percentage,#parameters,training_time,wandb_name
E999,overfitting dev data,0.48,0.51,0.44,0.48,0.51,0.55,0.68,0.63,0.83,0.77,0.31,0.35,0.57,0.56,0.07,0.09,0.99,0.91,454K,0:05:13,leafy-puddle-330
E1,baseline,0.57,0.57,0.56,0.55,0.58,0.6,0.73,0.7,0.84,0.81,0.37,0.4,0.52,0.57,0.67,0.74,2.28,2.3,454K,1:21:53,happy-glitter-333
E1.1,baseline - encoder_bidirectional,0.48,0.49,0.46,0.48,0.51,0.5,0.68,0.66,0.81,0.77,0.34,0.37,0.53,0.55,0.56,0.58,2.28,2.35,585K,1:16:58,devout-lion-334
E1.2.1,baseline + hidden_dim=128,0.47,0.48,0.47,0.44,0.48,0.51,0.69,0.66,0.82,0.79,0.34,0.38,0.53,0.56,0.65,0.7,2.22,2.23,256K,0:43:28,comfy-hill-339
E1.2.2,baseline + hidden_dim=512,0.49,0.5,0.46,0.47,0.52,0.52,0.69,0.67,0.84,0.79,0.32,0.33,0.53,0.54,0.38,0.37,1.48,1.51,1.1M,1:43:01,genial-lake-335
E1.2.3,baseline + hidden_dim=1024,0.5,0.53,0.46,0.48,0.53,0.58,0.7,0.68,0.85,0.81,0.33,0.36,0.56,0.58,0.3,0.35,1.37,1.39,3.2M,1:15:07,curious-breeze-336
E1.3.1,baseline + encoder_depth=2,0.57,0.57,0.56,0.55,0.58,0.58,0.73,0.71,0.84,0.81,0.36,0.4,0.53,0.57,0.63,0.69,2.24,2.29,849K,1:21:54,ruby-sound-340
E1.3.2 *,baseline + encoder_depth=4,0.63,0.65,0.61,0.63,0.64,0.66,0.78,0.75,0.9,0.88,0.41,0.44,0.49,0.54,0.79,0.85,1.15,1.16,1.6M,3:26:24,devoted-sunset-341
E1.3.3,baseline + hidden_dim=128 + encoder_depth=2,0.55,0.59,0.55,0.58,0.54,0.6,0.72,0.69,0.86,0.83,0.37,0.4,0.54,0.59,0.69,0.73,1.82,1.8,322K,0:38:41,skilled-mountain-343
E1.4.1,baseline + hidden_dim=128 + encoder_depth=4,0.6,0.63,0.6,0.62,0.6,0.64,0.77,0.73,0.87,0.84,0.4,0.43,0.51,0.57,0.79,0.85,2.21,2.14,521K,1:53:03,glamorous-firebrand-344
E1.4.2,baseline + hidden_dim=128 + encoder_depth=8,0.6,0.61,0.6,0.59,0.6,0.63,0.76,0.72,0.84,0.82,0.41,0.45,0.51,0.56,0.79,0.85,2.62,2.66,918K,2:08:14,robust-grass-345
E1.4.3,baseline + hidden_dim=64 + encoder_depth=4,0.58,0.58,0.58,0.57,0.59,0.6,0.74,0.72,0.84,0.82,0.38,0.42,0.53,0.59,0.7,0.74,2.15,2.17,207K,1:34:50,jumping-dawn-349
E1.5.1,baseline + hidden_dim=64 + encoder_depth=8,0.6,0.63,0.6,0.62,0.6,0.64,0.76,0.73,0.85,0.83,0.4,0.44,0.53,0.59,0.74,0.79,2.22,2.27,308K,2:19:43,hopeful-salad-345
E1.5.2,baseline + hand_normalization,0.47,0.49,0.44,0.47,0.49,0.51,0.71,0.68,0.83,0.8,0.35,0.39,0.52,0.56,0.74,0.77,2.35,2.42,617K,2:38:45,valiant-breeze-338
