id,note,dev_frame_f1_avg,test_frame_f1_avg,dev_sign_frame_f1,test_sign_frame_f1,dev_sentence_frame_f1,test_sentence_frame_f1,dev_sign_frame_accuracy,test_sign_frame_accuracy,dev_sentence_frame_accuracy,test_sentence_frame_accuracy,dev_sign_segment_IoU,test_sign_segment_IoU,dev_sentence_segment_IoU,test_sentence_segment_IoU,dev_sign_segment_percentage,test_sign_segment_percentage,dev_sentence_segment_percentage,test_sentence_segment_percentage
E4s-b10-o10,tune decoding,0.62±0.0,0.61±0.0,0.61±0.0,0.59±0.0,0.63±0.0,0.62±0.0,0.79±0.0,0.75±0.01,0.91±0.0,0.88±0.0,0.42±0.0,0.48±0.0,0.57±0.0,0.64±0.01,0.75±0.02,0.8±0.03,1.72±0.06,1.75±0.09
E4s-b10-o20,tune decoding,0.62±0.0,0.61±0.0,0.61±0.0,0.59±0.0,0.63±0.0,0.62±0.0,0.79±0.0,0.75±0.01,0.91±0.0,0.88±0.0,0.43±0.0,0.49±0.0,0.59±0.0,0.66±0.0,0.75±0.02,0.8±0.03,1.72±0.06,1.75±0.09
E4s-b10-o30,tune decoding,0.62±0.0,0.61±0.0,0.61±0.0,0.59±0.0,0.63±0.0,0.62±0.0,0.79±0.0,0.75±0.01,0.91±0.0,0.88±0.0,0.44±0.0,0.49±0.0,0.6±0.0,0.66±0.0,0.75±0.02,0.8±0.03,1.72±0.06,1.75±0.09
E4s-b10-o40,tune decoding,0.62±0.0,0.61±0.0,0.61±0.0,0.59±0.0,0.63±0.0,0.62±0.0,0.79±0.0,0.75±0.01,0.91±0.0,0.88±0.0,0.44±0.0,0.5±0.0,0.61±0.01,0.67±0.0,0.75±0.02,0.8±0.03,1.72±0.06,1.75±0.09
E4s-b10-o50,tune decoding,0.62±0.0,0.61±0.0,0.61±0.0,0.59±0.0,0.63±0.0,0.62±0.0,0.79±0.0,0.75±0.01,0.91±0.0,0.88±0.0,0.44±0.0,0.5±0.0,0.61±0.0,0.67±0.0,0.75±0.02,0.8±0.03,1.73±0.06,1.75±0.09
E4s-b10-o60,tune decoding,0.62±0.0,0.61±0.0,0.61±0.0,0.59±0.0,0.63±0.0,0.62±0.0,0.79±0.0,0.75±0.01,0.91±0.0,0.88±0.0,0.44±0.0,0.5±0.0,0.61±0.0,0.67±0.0,0.75±0.02,0.8±0.03,1.72±0.06,1.75±0.09
E4s-b10-o70,tune decoding,0.62±0.0,0.61±0.0,0.61±0.0,0.59±0.0,0.63±0.0,0.62±0.0,0.79±0.0,0.75±0.01,0.91±0.0,0.88±0.0,0.44±0.0,0.5±0.0,0.61±0.0,0.68±0.0,0.75±0.02,0.8±0.03,1.73±0.06,1.75±0.09
E4s-b10-o80,tune decoding,0.62±0.0,0.61±0.0,0.61±0.0,0.59±0.0,0.63±0.0,0.62±0.0,0.79±0.0,0.75±0.01,0.91±0.0,0.88±0.0,0.44±0.0,0.49±0.0,0.62±0.0,0.68±0.0,0.75±0.02,0.81±0.03,1.73±0.06,1.75±0.09
E4s-b10-o90,tune decoding,0.62±0.0,0.61±0.0,0.61±0.0,0.59±0.0,0.63±0.0,0.62±0.0,0.79±0.0,0.75±0.01,0.91±0.0,0.88±0.0,0.43±0.0,0.49±0.0,0.62±0.01,0.68±0.0,0.76±0.02,0.81±0.03,1.73±0.06,1.75±0.09
E4s-b20-o10,tune decoding,0.62±0.0,0.61±0.0,0.61±0.0,0.59±0.0,0.63±0.0,0.62±0.0,0.79±0.0,0.75±0.01,0.91±0.0,0.88±0.0,0.42±0.01,0.47±0.0,0.57±0.0,0.63±0.01,0.84±0.01,0.92±0.01,1.54±0.06,1.56±0.07
