id,note,dev_frame_f1_avg,test_frame_f1_avg,dev_sign_frame_f1,test_sign_frame_f1,dev_sentence_frame_f1,test_sentence_frame_f1,dev_sign_frame_accuracy,test_sign_frame_accuracy,dev_sentence_frame_accuracy,test_sentence_frame_accuracy,dev_sign_segment_IoU,test_sign_segment_IoU,dev_sentence_segment_IoU,test_sentence_segment_IoU,dev_sign_segment_percentage,test_sign_segment_percentage,dev_sentence_segment_percentage,test_sentence_segment_percentage
E4s-likeliest,tune decoding,0.62±0.0,0.61±0.0,0.61±0.0,0.59±0.0,0.63±0.0,0.62±0.0,0.79±0.0,0.75±0.01,0.91±0.0,0.88±0.0,0.63±0.0,0.63±0.0,0.77±0.01,0.79±0.0,1.6±0.08,1.15±0.03,1.91±0.06,1.45±0.1
E4s-b10-o10,tune decoding,0.62±0.0,0.61±0.0,0.61±0.0,0.59±0.0,0.63±0.0,0.62±0.0,0.79±0.0,0.75±0.01,0.91±0.0,0.88±0.0,0.59±0.0,0.57±0.04,0.71±0.05,0.75±0.01,1.92±0.16,1.02±0.02,2.5±0.12,1.96±0.1
E4s-b10-o20,tune decoding,0.62±0.0,0.61±0.0,0.61±0.0,0.59±0.0,0.63±0.0,0.62±0.0,0.79±0.0,0.75±0.01,0.91±0.0,0.88±0.0,0.6±0.0,0.59±0.04,0.73±0.05,0.77±0.0,1.92±0.16,1.02±0.02,2.5±0.12,1.96±0.1
E4s-b10-o30,tune decoding,0.62±0.0,0.61±0.0,0.61±0.0,0.59±0.0,0.63±0.0,0.62±0.0,0.79±0.0,0.75±0.01,0.91±0.0,0.88±0.0,0.61±0.0,0.59±0.04,0.74±0.05,0.78±0.0,1.92±0.16,1.02±0.02,2.5±0.12,1.96±0.1
E4s-b10-o40,tune decoding,0.62±0.0,0.61±0.0,0.61±0.0,0.59±0.0,0.63±0.0,0.62±0.0,0.79±0.0,0.75±0.01,0.91±0.0,0.88±0.0,0.61±0.0,0.6±0.04,0.75±0.05,0.79±0.0,1.92±0.16,1.02±0.02,2.5±0.12,1.96±0.1
E4s-b10-o50,tune decoding,0.62±0.0,0.61±0.0,0.61±0.0,0.59±0.0,0.63±0.0,0.62±0.0,0.79±0.0,0.75±0.01,0.91±0.0,0.88±0.0,0.61±0.0,0.6±0.04,0.75±0.05,0.79±0.0,1.92±0.16,1.02±0.02,2.5±0.12,1.96±0.1
E4s-b10-o60,tune decoding,0.62±0.0,0.61±0.0,0.61±0.0,0.59±0.0,0.63±0.0,0.62±0.0,0.79±0.0,0.75±0.01,0.91±0.0,0.88±0.0,0.61±0.0,0.6±0.04,0.75±0.05,0.79±0.0,1.92±0.16,1.02±0.02,2.5±0.12,1.96±0.1
E4s-b10-o70,tune decoding,0.62±0.0,0.61±0.0,0.61±0.0,0.59±0.0,0.63±0.0,0.62±0.0,0.79±0.0,0.75±0.01,0.91±0.0,0.88±0.0,0.61±0.0,0.6±0.04,0.75±0.05,0.79±0.0,1.89±0.11,1.02±0.02,2.5±0.12,1.96±0.1
E4s-b10-o80,tune decoding,0.62±0.0,0.61±0.0,0.61±0.0,0.59±0.0,0.63±0.0,0.62±0.0,0.79±0.0,0.75±0.01,0.91±0.0,0.88±0.0,0.61±0.0,0.59±0.04,0.75±0.05,0.8±0.0,1.92±0.16,1.02±0.02,2.5±0.12,1.96±0.1
E4s-b10-o90,tune decoding,0.62±0.0,0.61±0.0,0.61±0.0,0.59±0.0,0.63±0.0,0.62±0.0,0.79±0.0,0.75±0.01,0.91±0.0,0.88±0.0,0.6±0.0,0.59±0.04,0.76±0.05,0.8±0.0,1.92±0.16,1.02±0.02,2.5±0.12,1.96±0.1
E4s-b20-o10,tune decoding,0.62±0.0,0.61±0.0,0.61±0.0,0.59±0.0,0.63±0.0,0.62±0.0,0.79±0.0,0.75±0.01,0.91±0.0,0.88±0.0,0.59±0.01,0.59±0.0,0.73±0.0,0.75±0.01,1.92±0.07,1.12±0.02,2.32±0.1,1.78±0.09
E4s-b20-o20,tune decoding,0.62±0.0,0.61±0.0,0.61±0.0,0.59±0.0,0.63±0.0,0.62±0.0,0.79±0.0,0.75±0.01,0.91±0.0,0.88±0.0,0.61±0.0,0.61±0.0,0.75±0.0,0.77±0.0,1.92±0.07,1.12±0.02,2.32±0.1,1.78±0.09
E4s-b20-o30,tune decoding,0.62±0.0,0.61±0.0,0.61±0.0,0.59±0.0,0.63±0.0,0.62±0.0,0.79±0.0,0.75±0.01,0.91±0.0,0.88±0.0,0.62±0.0,0.62±0.0,0.76±0.0,0.78±0.0,1.93±0.07,1.12±0.03,2.32±0.1,1.78±0.09
E4s-b20-o40,tune decoding,0.62±0.0,0.61±0.0,0.61±0.0,0.59±0.0,0.63±0.0,0.62±0.0,0.79±0.0,0.75±0.01,0.91±0.0,0.88±0.0,0.62±0.0,0.62±0.0,0.77±0.01,0.79±0.0,1.93±0.07,1.13±0.03,2.32±0.1,1.78±0.09
E4s-b20-o50,tune decoding,0.62±0.0,0.61±0.0,0.61±0.0,0.59±0.0,0.63±0.0,0.62±0.0,0.79±0.0,0.75±0.01,0.91±0.0,0.88±0.0,0.62±0.0,0.62±0.0,0.78±0.0,0.79±0.0,1.93±0.07,1.13±0.03,2.32±0.1,1.78±0.09
E4s-b20-o60,tune decoding,0.62±0.0,0.61±0.0,0.61±0.0,0.59±0.0,0.63±0.0,0.62±0.0,0.79±0.0,0.75±0.01,0.91±0.0,0.88±0.0,0.62±0.0,0.62±0.0,0.78±0.0,0.79±0.0,1.93±0.07,1.13±0.03,2.32±0.1,1.78±0.09
E4s-b20-o70,tune decoding,0.62±0.0,0.61±0.0,0.61±0.0,0.59±0.0,0.63±0.0,0.62±0.0,0.79±0.0,0.75±0.01,0.91±0.0,0.88±0.0,0.62±0.0,0.62±0.0,0.78±0.0,0.79±0.0,1.93±0.07,1.13±0.03,2.32±0.1,1.78±0.09
E4s-b20-o80,tune decoding,0.62±0.0,0.61±0.0,0.61±0.0,0.59±0.0,0.63±0.0,0.62±0.0,0.79±0.0,0.75±0.01,0.91±0.0,0.88±0.0,0.61±0.0,0.62±0.0,0.78±0.0,0.8±0.0,1.93±0.07,1.13±0.03,2.32±0.1,1.78±0.09
E4s-b20-o90,tune decoding,0.62±0.0,0.61±0.0,0.61±0.0,0.59±0.0,0.63±0.0,0.62±0.0,0.79±0.0,0.75±0.01,0.91±0.0,0.88±0.0,0.6±0.0,0.61±0.0,0.78±0.01,0.8±0.0,1.93±0.07,1.13±0.03,2.32±0.1,1.78±0.09
E4s-b30-o10,tune decoding,0.62±0.0,0.61±0.0,0.61±0.0,0.59±0.0,0.63±0.0,0.62±0.0,0.79±0.0,0.75±0.01,0.91±0.0,0.88±0.0,0.58±0.01,0.59±0.0,0.73±0.01,0.74±0.01,1.84±0.12,1.17±0.03,2.16±0.06,1.63±0.1
E4s-b30-o20,tune decoding,0.62±0.0,0.61±0.0,0.61±0.0,0.59±0.0,0.63±0.0,0.62±0.0,0.79±0.0,0.75±0.01,0.91±0.0,0.88±0.0,0.61±0.0,0.61±0.0,0.75±0.01,0.77±0.0,1.84±0.12,1.17±0.03,2.16±0.06,1.63±0.1
E4s-b30-o30,tune decoding,0.62±0.0,0.61±0.0,0.61±0.0,0.59±0.0,0.63±0.0,0.62±0.0,0.79±0.0,0.75±0.01,0.91±0.0,0.88±0.0,0.62±0.0,0.62±0.0,0.76±0.0,0.78±0.0,1.84±0.12,1.17±0.03,2.16±0.06,1.63±0.1
