id,note,dev_frame_f1_avg,test_frame_f1_avg,dev_sign_frame_f1,test_sign_frame_f1,dev_sentence_frame_f1,test_sentence_frame_f1,dev_sign_frame_accuracy,test_sign_frame_accuracy,dev_sentence_frame_accuracy,test_sentence_frame_accuracy,dev_sign_segment_IoU,test_sign_segment_IoU,dev_sentence_segment_IoU,test_sentence_segment_IoU,dev_sign_segment_percentage,test_sign_segment_percentage,dev_sentence_segment_percentage,test_sentence_segment_percentage,#parameters,training_time_avg
E0,\citet{detection:moryossef2020real},0.68±0.02,0.73±0.02,0.67±0.02,0.69±0.03,0.69±0.03,0.77±0.02,0.79±0.01,0.76±0.02,0.91±0.01,0.89±0.01,0.42±0.05,0.46±0.03,0.61±0.06,0.70±0.01,1.21±0.59,1.09±0.41,2.47±0.85,1.00±0.06,102K,0:50:17
E1,Baseline,0.56±0.02,0.58±0.03,0.55±0.01,0.56±0.03,0.56±0.02,0.59±0.02,0.71±0.01,0.69±0.01,0.84±0.00,0.81±0.00,0.59±0.00,0.66±0.01,0.75±0.05,0.80±0.03,1.12±0.11,0.91±0.05,2.94±0.08,2.50±0.13,454K,1:01:50
E2,E1 + Face,0.52±0.06,0.55±0.04,0.50±0.07,0.53±0.05,0.53±0.05,0.57±0.02,0.70±0.03,0.67±0.04,0.82±0.05,0.80±0.04,0.53±0.11,0.58±0.07,0.71±0.07,0.76±0.03,0.90±0.19,0.64±0.30,2.43±1.02,1.87±0.83,552K,1:50:31
E3,E1 + Optical Flow,0.59±0.00,0.59±0.02,0.58±0.00,0.58±0.01,0.59±0.01,0.60±0.03,0.75±0.00,0.72±0.00,0.85±0.02,0.82±0.02,0.62±0.00,0.62±0.00,0.79±0.00,0.82±0.03,1.50±0.19,1.12±0.05,3.94±0.14,3.19±0.11,473K,1:20:17
E4,E3 + Hand Norm,0.58±0.01,0.58±0.01,0.57±0.01,0.56±0.02,0.58±0.00,0.60±0.00,0.74±0.01,0.71±0.01,0.85±0.01,0.82±0.00,0.61±0.01,0.61±0.00,0.79±0.00,0.80±0.00,1.50±0.07,1.07±0.05,4.04±0.31,3.24±0.17,516K,1:30:59
E1s,E1 + Depth=4,0.62±0.00,0.64±0.01,0.61±0.00,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.00,0.75±0.01,0.90±0.00,0.88±0.00,0.63±0.00,0.69±0.00,0.77±0.01,0.82±0.04,1.27±0.01,1.11±0.01,2.17±0.18,1.63±0.10,1.6M,4:08:48
E2s,E2 + Depth=4,0.59±0.01,0.62±0.02,0.60±0.01,0.62±0.02,0.59±0.02,0.63±0.01,0.76±0.01,0.73±0.01,0.87±0.02,0.84±0.02,0.63±0.01,0.69±0.00,0.76±0.05,0.84±0.03,1.20±0.12,1.07±0.03,3.30±0.62,2.68±0.53,1.7M,3:14:03
E3s,E3 + Depth=4,0.62±0.00,0.62±0.02,0.62±0.00,0.60±0.01,0.63±0.00,0.64±0.03,0.79±0.00,0.75±0.00,0.90±0.00,0.88±0.01,0.63±0.00,0.63±0.00,0.76±0.00,0.80±0.03,1.63±0.05,1.13±0.01,2.14±0.09,1.53±0.18,1.7M,4:08:30
E4s,E4 + Depth=4,0.62±0.00,0.61±0.00,0.61±0.00,0.59±0.00,0.63±0.00,0.62±0.00,0.79±0.00,0.75±0.01,0.91±0.00,0.88±0.00,0.63±0.00,0.63±0.00,0.77±0.01,0.79±0.00,1.56±0.04,1.13±0.03,1.89±0.07,1.43±0.10,1.7M,4:35:29
E4ba,E4s + Autoregressive,0.43±0.00,0.48±0.02,0.40±0.01,0.45±0.03,0.47±0.00,0.52±0.02,0.68±0.01,0.66±0.00,0.85±0.02,0.83±0.03,0.40±0.01,0.47±0.05,0.57±0.04,0.63±0.10,2.02±0.73,0.88±0.08,4.26±1.26,2.72±1.33,1.3M,"2 days, 21:28:42"
