# Fingerspelling JSL (日本手話, Nihon Shuwa: Japanese Sign Language)
#
# The FSW for all the entered symbols are:

あ,M510x508S1f720490x493
い,M511x510S19220490x491
う,M508x515S11520493x485
え,M507x509S16620492x491
お,M508x508S17610492x492
か,M515x515S14020486x485
き,M514x515S1a320487x486
く,M513x509S15d02486x490
け,M507x511S14720493x489
こ,M515x508S18010485x493
さ,M508x508S20320493x493
し,M515x512S11e02485x489
す,M512x515S11e04489x485
せ,M508x515S1c620493x485
そ,M508x515S10040493x485
た,M510x508S1f740490x493
ち,M514x511S19620486x490
つ,M514x513S1b320486x487
て,M512x516S14c20489x485
と,M508x515S11500493x485
な,M508x515S10e04493x485
に,M515x508S10e02485x493
ぬ,M508x513S10610493x487
ね,M512x516S14c04489x485
の,M521x519S10020506x489S2a20c480x481
は,M508x515S11540493x485
ひ,M508x515S10020493x485
ふ,M512x515S1dc04488x485
へ,M514x510S19a04486x490
ほ,M506x515S18100494x486
ま,M510x513S18d50490x488
み,M515x508S18c02485x493
む,M515x512S1dc02485x488
め,M511x515S1ce10489x485
も,M508x524S1f436493x495S22a04492x487S21b00494x477
や,M514x510S19a20486x490
ゆ,M508x515S18c00493x485
よ,M516x511S14402485x489
ら,M508x515S11a20493x485
り,M521x519S10e20506x489S2a20c480x481
れ,M512x515S1dc20488x485
ろ,M508x514S11010493x487
わ,M509x515S18620491x485
を,M508x517S17610492x501S26504493x483
ん,M521x519S10040480x489S2a204498x481
ぁ,M510x517S1f720490x502S26504496x484
ぃ,M511x517S19220490x498S26504491x484
ぅ,M512x519S11520488x489S26504498x481
ぇ,M508x518S16620493x500S26504494x482
ぉ,M508x517S17610492x501S26504493x483
ゃ,M514x517S19a20486x497S26504494x484
ょ,M516x519S14402485x497S26504496x481
っ,M514x517S1b320486x491S26504489x484
 ﾞ,M508x507S26506493x493
 ﾟ,M507x508S22a00494x493
1,M507x515S10020492x485
一,M507x515S10020492x485
2,M507x515S10e20492x485
二,M507x515S10e20492x485
3,M509x515S18620491x485
三,M509x515S18620491x485
4,M511x515S14420489x484
四,M511x515S14420489x484
5,M510x507S1f720490x492
五,M510x507S1f720490x492
6,M515x512S1dc02485x488
六,M515x512S1dc02485x488
7,M515x511S11e02485x488
七,M515x511S11e02485x488
8,M515x510S18e02485x490
八,M515x510S18e02485x490
9,M514x510S15d02487x491
九,M514x510S15d02487x491
0,M508x508S17610492x492
零,M508x508S17610492x492
十,M511x513S10620490x487
